t_i,H_i,t_j,H_j,Value
0.0,14.0,15.0,11.8,-0.01139718654290928
0.0,14.0,30.0,10.5,-0.00958940241505936
0.0,14.0,45.0,9.3,-0.009089842876801067
0.0,14.0,60.0,8.5,-0.008316519435316461
0.0,14.0,75.0,7.7,-0.007971160010074935
0.0,14.0,90.0,7.1,-0.007544028284088762
0.0,14.0,105.0,6.5,-0.007307191930606353
0.0,14.0,120.0,6.0,-0.007060815503226695
0.0,14.0,150.0,5.3,-0.006475670060381216
0.0,14.0,180.0,4.4,-0.006430293270505793
0.0,14.0,210.0,3.5,-0.006601401719618525
0.0,14.0,240.0,2.9,-0.006559777469261793
0.0,14.0,300.0,1.3,-0.007922310217159225
0.0,14.0,360.0,0.7,-0.008321478537649975
15.0,11.8,30.0,10.5,-0.007781618287209439
15.0,11.8,45.0,9.3,-0.007936171043746961
15.0,11.8,60.0,8.5,-0.0072896303994521875
15.0,11.8,75.0,7.7,-0.00711465337686635
15.0,11.8,90.0,7.1,-0.006773396632324659
15.0,11.8,105.0,6.5,-0.006625526161889199
15.0,11.8,120.0,6.0,-0.006441333926129183
15.0,11.8,150.0,5.3,-0.005928834895655875
15.0,11.8,180.0,4.4,-0.005978757518469113
15.0,11.8,210.0,3.5,-0.006232495194750006
15.0,11.8,240.0,2.9,-0.006237283531018626
15.0,11.8,300.0,1.3,-0.007739421989488168
15.0,11.8,360.0,0.7,-0.008187752102638701
30.0,10.5,45.0,9.3,-0.008090723800284482
30.0,10.5,60.0,8.5,-0.007043636455573561
30.0,10.5,75.0,7.7,-0.00689233174008532
30.0,10.5,90.0,7.1,-0.006521341218603464
30.0,10.5,105.0,6.5,-0.0063943077368251505
30.0,10.5,120.0,6.0,-0.006217953199282474
30.0,10.5,150.0,5.3,-0.0056972369717116795
30.0,10.5,180.0,4.4,-0.00579847144159508
30.0,10.5,210.0,3.5,-0.00610340160371172
30.0,10.5,240.0,2.9,-0.0061269739055764254
30.0,10.5,300.0,1.3,-0.007737077750725877
30.0,10.5,360.0,0.7,-0.008206212730612757
45.0,9.3,60.0,8.5,-0.005996549110862641
45.0,9.3,75.0,7.7,-0.006293135709985739
45.0,9.3,90.0,7.1,-0.0059982136913764575
45.0,9.3,105.0,6.5,-0.005970203720960317
45.0,9.3,120.0,6.0,-0.0058433990790820725
45.0,9.3,150.0,5.3,-0.005355310281915565
45.0,9.3,180.0,4.4,-0.005543776735074036
45.0,9.3,210.0,3.5,-0.0059227359494778324
45.0,9.3,240.0,2.9,-0.0059759162213681135
45.0,9.3,300.0,1.3,-0.007716275041928311
45.0,9.3,360.0,0.7,-0.008211712203485533
60.0,8.5,75.0,7.7,-0.006589722309108837
60.0,8.5,90.0,7.1,-0.005999045981633366
60.0,8.5,105.0,6.5,-0.005961421924326209
60.0,8.5,120.0,6.0,-0.00580511157113693
60.0,8.5,150.0,5.3,-0.005248437143757719
60.0,8.5,180.0,4.4,-0.00548718018810046
60.0,8.5,210.0,3.5,-0.005915354633339352
60.0,8.5,240.0,2.9,-0.005974196813910236
60.0,8.5,300.0,1.3,-0.007823757912619916
60.0,8.5,360.0,0.7,-0.008322470358116677
75.0,7.7,90.0,7.1,-0.005408369654157896
75.0,7.7,105.0,6.5,-0.005647271731934896
75.0,7.7,120.0,6.0,-0.005543574658479628
75.0,7.7,150.0,5.3,-0.0049801801106874955
75.0,7.7,180.0,4.4,-0.0053296741708135495
75.0,7.7,210.0,3.5,-0.005840424891587186
75.0,7.7,240.0,2.9,-0.005918239950710363
75.0,7.7,300.0,1.3,-0.007906026952853987
75.0,7.7,360.0,0.7,-0.008413667623853932
90.0,7.1,105.0,6.5,-0.005886173809711895
90.0,7.1,120.0,6.0,-0.005611177160640494
90.0,7.1,150.0,5.3,-0.004873132724819896
90.0,7.1,180.0,4.4,-0.005316558256922825
90.0,7.1,210.0,3.5,-0.005894431796265848
90.0,7.1,240.0,2.9,-0.00596922698036561
90.0,7.1,300.0,1.3,-0.008084431045617993
90.0,7.1,360.0,0.7,-0.008580628622170378
105.0,6.5,120.0,6.0,-0.005336180511569092
105.0,6.5,150.0,5.3,-0.004535452363189228
105.0,6.5,180.0,4.4,-0.00520263514636501
105.0,6.5,210.0,3.5,-0.005895611508630698
105.0,6.5,240.0,2.9,-0.005978455110438245
105.0,6.5,300.0,1.3,-0.008253527756072309
105.0,6.5,360.0,0.7,-0.008739125964079702
120.0,6.0,150.0,5.3,-0.004135088288999296
120.0,6.0,180.0,4.4,-0.00516924880506399
120.0,6.0,210.0,3.5,-0.005988850008140966
120.0,6.0,240.0,2.9,-0.006058739435296889
120.0,6.0,300.0,1.3,-0.008496640026447577
120.0,6.0,360.0,0.7,-0.008951810054861615
150.0,5.3,180.0,4.4,-0.0062034093211286835
150.0,5.3,210.0,3.5,-0.0069157308677118
150.0,5.3,240.0,2.9,-0.006699956484062753
150.0,5.3,300.0,1.3,-0.009368950373937233
150.0,5.3,360.0,0.7,-0.009639913164270517
180.0,4.4,210.0,3.5,-0.007628052414294917
180.0,4.4,240.0,2.9,-0.006948230065529789
180.0,4.4,300.0,1.3,-0.01016033563713937
180.0,4.4,360.0,0.7,-0.010212663804794155
210.0,3.5,240.0,2.9,-0.006268407716764661
210.0,3.5,300.0,1.3,-0.011004430044754189
210.0,3.5,360.0,0.7,-0.010729586082894003
240.0,2.9,300.0,1.3,-0.013372441208748953
240.0,2.9,360.0,0.7,-0.01184488067442634
300.0,1.3,360.0,0.7,-0.010317320140103725

Average,,,,-0.007037108681807255
Median,,,,-0.006475670060381216
