foamTime,beerBrnd,brand1,brand2,brand3,foamHt
0,1,1,0,0,17
15,1,1,0,0,16.1
30,1,1,0,0,14.9
45,1,1,0,0,14
60,1,1,0,0,13.2
75,1,1,0,0,12.5
90,1,1,0,0,11.9
105,1,1,0,0,11.2
120,1,1,0,0,10.7
150,1,1,0,0,9.7
180,1,1,0,0,8.9
210,1,1,0,0,8.3
240,1,1,0,0,7.5
300,1,1,0,0,6.3
360,1,1,0,0,5.2
0,2,0,1,0,14
15,2,0,1,0,11.8
30,2,0,1,0,10.5
45,2,0,1,0,9.3
60,2,0,1,0,8.5
75,2,0,1,0,7.7
90,2,0,1,0,7.1
105,2,0,1,0,6.5
120,2,0,1,0,6
150,2,0,1,0,5.3
180,2,0,1,0,4.4
210,2,0,1,0,3.5
240,2,0,1,0,2.9
300,2,0,1,0,1.3
360,2,0,1,0,0.7
0,3,0,0,1,14
15,3,0,0,1,12.1
30,3,0,0,1,10.9
45,3,0,0,1,10
60,3,0,0,1,9.3
75,3,0,0,1,8.6
90,3,0,0,1,8
105,3,0,0,1,7.5
120,3,0,0,1,7
150,3,0,0,1,6.2
180,3,0,0,1,5.5
210,3,0,0,1,4.5
240,3,0,0,1,3.5
300,3,0,0,1,2
360,3,0,0,1,0.9
